월(Monthly),구  분,대분류,중분류,소분류,착공실적
2011-03,전북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,949
2011-03,전북,단독,단독,단독,381
2011-03,전북,단독,다가구,동수,178
2011-03,전북,단독,다가구,가구수,1,500
2011-03,전북,다세대,다세대,다세대,32
2011-03,전북,연립,연립,연립,36
2011-03,전북,아파트,아파트,아파트,0
2011-03,전남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),680
2011-03,전남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,378
2011-03,전남,단독,단독,단독,485
2011-03,전남,단독,다가구,동수,97
2011-03,전남,단독,다가구,가구수,795
2011-03,전남,다세대,다세대,다세대,53
2011-03,전남,연립,연립,연립,45
2011-03,전남,아파트,아파트,아파트,0
2011-03,경북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),950
2011-03,경북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2,106
2011-03,경북,단독,단독,단독,635
2011-03,경북,단독,다가구,동수,121
2011-03,경북,단독,다가구,가구수,1,277
2011-03,경북,다세대,다세대,다세대,80
2011-03,경북,연립,연립,연립,40
2011-03,경북,아파트,아파트,아파트,74
2011-03,경남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,174
2011-03,경남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),3,025
2011-03,경남,단독,단독,단독,504
2011-03,경남,단독,다가구,동수,364
2011-03,경남,단독,다가구,가구수,2,215
2011-03,경남,다세대,다세대,다세대,119
2011-03,경남,연립,연립,연립,56
2011-03,경남,아파트,아파트,아파트,131
2011-03,제주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),539
2011-03,제주,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),667
2011-03,제주,단독,단독,단독,79
2011-03,제주,단독,다가구,동수,35
