"연도","선수명","팀명","경기","타석","타수","안타","홈런","득점","타점","볼넷","삼진","도루","BABIP","타율","출루율","장타율","OPS","wOBA","WAR"
2013,"전준우","롯데",128,537,455,125,7,65,66,65,77,19,0.312,0.275,0.367,0.38,0.747,0.347,2.49
2013,"이원석","두산",85,300,264,83,10,40,39,29,49,6,0.351,0.314,0.385,0.473,0.858,0.388,2.48
2013,"신종길","KIA",104,427,377,117,4,55,50,31,86,29,0.388,0.31,0.365,0.427,0.792,0.362,2.39
2013,"강민호","롯데",105,405,327,77,11,48,57,60,87,4,0.281,0.235,0.366,0.376,0.742,0.343,2.37
2013,"모창민","NC",108,436,395,109,12,57,51,37,68,16,0.307,0.276,0.339,0.443,0.782,0.353,2.31
2013,"이진영","LG",106,411,368,121,3,41,62,37,42,6,0.362,0.329,0.39,0.429,0.819,0.374,2.22
2013,"이택근","넥센",123,536,477,137,9,73,66,39,58,29,0.307,0.287,0.345,0.413,0.758,0.345,2.14
2013,"최진행*","한화",106,422,367,110,8,39,53,50,86,0,0.372,0.3,0.387,0.439,0.826,0.378,2.13
2013,"홍성흔","두산",127,538,469,140,15,61,72,57,93,5,0.343,0.299,0.379,0.439,0.818,0.374,2.09
2013,"황재균","롯데",128,559,489,134,7,70,56,49,78,22,0.311,0.274,0.35,0.389,0.739,0.339,2.09
2013,"이병규(9)","LG",98,401,374,130,5,39,74,22,40,2,0.377,0.348,0.384,0.455,0.839,0.381,2.08
2013,"이호준","NC",126,508,442,123,20,46,87,60,109,2,0.324,0.278,0.362,0.475,0.837,0.373,1.85
2013,"양의지","두산",114,367,311,77,7,37,57,36,50,6,0.272,0.248,0.338,0.376,0.714,0.329,1.85
2013,"정상호","SK",82,236,201,58,6,26,26,20,47,1,0.344,0.289,0.36,0.433,0.793,0.36,1.82
2013,"오재원","두산",113,375,308,80,7,54,44,49,62,33,0.299,0.26,0.367,0.419,0.786,0.357,1.8
2013,"김선빈","KIA",88,363,310,93,1,51,29,39,26,28,0.321,0.3,0.377,0.348,0.725,0.343,1.74
2013,"김재호","두산",91,286,248,78,1,42,33,26,24,9,0.342,0.315,0.377,0.391,0.768,0.357,1.7
