월(Monthly),구  분,대분류,중분류,소분류,사용검사실적
2010-10,전북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,194
2010-10,전북,단독,단독,단독,211
2010-10,전북,단독,다가구,동수,116
2010-10,전북,단독,다가구,가구수,977
2010-10,전북,다세대,다세대,다세대,6
2010-10,전북,연립,연립,연립,0
2010-10,전북,아파트,아파트,아파트,0
2010-10,전남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),360
2010-10,전남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),682
2010-10,전남,단독,단독,단독,304
2010-10,전남,단독,다가구,동수,39
2010-10,전남,단독,다가구,가구수,361
2010-10,전남,다세대,다세대,다세대,9
2010-10,전남,연립,연립,연립,8
2010-10,전남,아파트,아파트,아파트,0
2010-10,경북,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),2,307
2010-10,경북,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),2,907
2010-10,경북,단독,단독,단독,390
2010-10,경북,단독,다가구,동수,84
2010-10,경북,단독,다가구,가구수,684
2010-10,경북,다세대,다세대,다세대,94
2010-10,경북,연립,연립,연립,0
2010-10,경북,아파트,아파트,아파트,1,739
2010-10,경남,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),1,036
2010-10,경남,계(다가구가구수기준),계(다가구가구수기준),계(다가구가구수기준),1,978
2010-10,경남,단독,단독,단독,362
2010-10,경남,단독,다가구,동수,182
2010-10,경남,단독,다가구,가구수,1,124
2010-10,경남,다세대,다세대,다세대,14
2010-10,경남,연립,연립,연립,64
2010-10,경남,아파트,아파트,아파트,414
2010-10,제주,계(다가구동수기준),계(다가구동수기준),계(다가구동수기준),536
